sourceIPv4Address,destinationIPv4Address,protocolIdentifier,protocolName,sourceTransportPort,destinationTransportPort,octetDeltaCount,packetDeltaCount,flowStartMilliseconds,flowEndMilliseconds,mac_source,mac_destination,transport_source_port,transport_destination_port,application_name,http_url,https_url_certificate,datalink_vlan,flow_start_time,flow_end_time,bytes_accumulated,tcp_retransmits,tcp_rst,tcp_fin,anomaly,anomaly_type
192.168.131.151,203.0.113.15,6,TCP,58511,443,505,18,1745392296826,1745392301118,16:7d:71:d2:fd:cf,cf:e6:8e:87:97:4c,42287,443,https,,,2,2025-04-23T07:11:36.826379,2025-04-23T07:11:41.118379,1158,6,1,0,True,connection_failure
192.168.204.113,203.0.113.15,6,TCP,29329,443,1380,16,1745392296826,1745392300963,34:02:00:6b:bd:12,7e:ee:73:a6:21:e4,7771,443,https,,,5,2025-04-23T07:11:36.826509,2025-04-23T07:11:40.963509,418,4,1,0,True,connection_failure
192.168.35.217,203.0.113.15,6,TCP,33209,443,1745,7,1745392296826,1745392301752,21:56:84:ab:63:84,b1:ed:7e:07:97:cd,8503,443,https,,,1,2025-04-23T07:11:36.826616,2025-04-23T07:11:41.752616,885,5,1,0,True,connection_failure
192.168.27.199,203.0.113.15,6,TCP,20880,443,1893,16,1745392296826,1745392301127,de:9b:21:0b:e2:9b,db:85:d4:e4:6e:c9,29159,443,https,,,10,2025-04-23T07:11:36.826713,2025-04-23T07:11:41.127713,471,3,1,0,True,connection_failure
192.168.156.149,203.0.113.15,6,TCP,35783,443,1141,15,1745392296826,1745392298738,f0:3a:80:50:4b:8e,28:7f:1d:fd:60:73,33694,443,https,,,2,2025-04-23T07:11:36.826809,2025-04-23T07:11:38.738809,293,9,1,0,True,connection_failure
192.168.148.4,203.0.113.15,6,TCP,22790,443,1443,8,1745392296826,1745392300208,04:47:a3:bc:c3:12,ce:03:d4:3d:8f:ca,26105,443,https,,,10,2025-04-23T07:11:36.826903,2025-04-23T07:11:40.208903,1614,7,1,0,True,connection_failure
192.168.197.67,203.0.113.15,6,TCP,6932,443,1688,10,1745392296826,1745392298987,1b:52:ad:40:bf:08,80:e5:dd:6a:6d:2a,41246,443,https,,,8,2025-04-23T07:11:36.826998,2025-04-23T07:11:38.987998,354,4,1,0,True,connection_failure
192.168.25.101,203.0.113.15,6,TCP,61434,443,1375,20,1745392296827,1745392301724,06:04:7e:f8:a6:b8,3e:92:89:4c:4a:11,41098,443,https,,,10,2025-04-23T07:11:36.827091,2025-04-23T07:11:41.724091,249,8,1,0,True,connection_failure
192.168.170.126,203.0.113.15,6,TCP,61815,443,1015,8,1745392296827,1745392299665,2e:fb:20:b8:d6:03,3b:98:ee:1b:62:bb,30760,443,https,,,9,2025-04-23T07:11:36.827185,2025-04-23T07:11:39.665185,1426,4,1,0,True,connection_failure
192.168.47.128,203.0.113.15,6,TCP,17155,443,1337,8,1745392296827,1745392299823,9d:99:01:42:f1:c8,a4:dd:ab:12:ce:48,64196,443,https,,,8,2025-04-23T07:11:36.827276,2025-04-23T07:11:39.823276,1225,6,1,0,True,connection_failure
192.168.250.225,203.0.113.15,6,TCP,23016,443,1147,19,1745392296827,1745392300588,f6:58:49:95:00:09,e2:d5:43:15:03:65,50507,443,https,,,10,2025-04-23T07:11:36.827392,2025-04-23T07:11:40.588392,1710,8,1,0,True,connection_failure
192.168.235.198,203.0.113.15,6,TCP,16706,443,485,9,1745392296827,1745392300472,c1:4c:6d:56:a6:21,94:9b:06:85:af:79,24211,443,https,,,4,2025-04-23T07:11:36.827490,2025-04-23T07:11:40.472490,1500,9,1,0,True,connection_failure
192.168.20.50,203.0.113.15,6,TCP,63020,443,279,9,1745392296827,1745392298172,46:4f:a1:39:d1:5e,00:bd:6e:55:2d:e1,28641,443,https,,,8,2025-04-23T07:11:36.827583,2025-04-23T07:11:38.172583,397,8,1,0,True,connection_failure
192.168.114.233,203.0.113.15,6,TCP,54611,443,871,6,1745392296827,1745392299012,37:ef:f2:e6:85:8d,96:81:82:44:73:d7,51174,443,https,,,4,2025-04-23T07:11:36.827676,2025-04-23T07:11:39.012676,1486,9,1,0,True,connection_failure
192.168.240.154,203.0.113.15,6,TCP,3808,443,274,10,1745392296827,1745392301744,e9:87:37:97:a4:e5,5e:71:52:c4:26:7e,36451,443,https,,,9,2025-04-23T07:11:36.827771,2025-04-23T07:11:41.744771,1729,4,1,0,True,connection_failure
192.168.0.241,203.0.113.15,6,TCP,19512,443,1975,6,1745392296827,1745392299890,64:d3:d8:06:f4:02,02:7a:14:2e:2e:24,4605,443,https,,,6,2025-04-23T07:11:36.827866,2025-04-23T07:11:39.890866,224,7,1,0,True,connection_failure
192.168.147.204,203.0.113.15,6,TCP,27895,443,1170,8,1745392296827,1745392299303,74:6b:7a:cb:8f:ee,ce:51:7d:18:83:63,55444,443,https,,,10,2025-04-23T07:11:36.827958,2025-04-23T07:11:39.303958,516,10,1,0,True,connection_failure
192.168.72.175,203.0.113.15,6,TCP,54741,443,306,14,1745392296828,1745392298835,10:4c:9c:25:e4:37,72:c3:17:ed:d2:64,32753,443,https,,,3,2025-04-23T07:11:36.828050,2025-04-23T07:11:38.835050,1297,5,1,0,True,connection_failure
192.168.83.117,203.0.113.15,6,TCP,7379,443,1482,5,1745392296828,1745392301513,a8:00:8c:c3:a1:07,37:d5:ee:62:49:fd,64002,443,https,,,1,2025-04-23T07:11:36.828141,2025-04-23T07:11:41.513141,1850,6,1,0,True,connection_failure
192.168.179.125,203.0.113.15,6,TCP,31992,443,1036,17,1745392296828,1745392300795,69:97:bf:f9:63:fd,72:cd:60:4c:87:fc,16720,443,https,,,1,2025-04-23T07:11:36.828232,2025-04-23T07:11:40.795232,1821,7,1,0,True,connection_failure
192.168.174.149,203.0.113.15,6,TCP,64558,443,1468,13,1745392296828,1745392301404,25:c6:e3:dc:f2:18,8a:9f:fb:65:b9:37,37451,443,https,,,6,2025-04-23T07:11:36.828324,2025-04-23T07:11:41.404324,1204,3,1,0,True,connection_failure
192.168.68.8,203.0.113.15,6,TCP,1325,443,1645,13,1745392296828,1745392301362,e6:87:1d:14:01:a2,e4:d2:8e:b8:4f:ed,17297,443,https,,,5,2025-04-23T07:11:36.828442,2025-04-23T07:11:41.362442,1929,9,1,0,True,connection_failure
192.168.32.220,203.0.113.15,6,TCP,16535,443,1189,18,1745392296828,1745392301383,90:40:69:1b:74:e4,ba:7f:59:ef:18:a8,20082,443,https,,,3,2025-04-23T07:11:36.828541,2025-04-23T07:11:41.383541,561,7,1,0,True,connection_failure
192.168.26.44,203.0.113.15,6,TCP,16374,443,1570,7,1745392296828,1745392301763,b4:49:41:da:18:e6,fb:93:fe:f5:66:2c,15267,443,https,,,8,2025-04-23T07:11:36.828633,2025-04-23T07:11:41.763633,961,7,1,0,True,connection_failure
192.168.127.132,203.0.113.15,6,TCP,17761,443,583,16,1745392296828,1745392299368,aa:31:d2:75:45:c4,c8:9d:eb:99:2d:66,60309,443,https,,,4,2025-04-23T07:11:36.828737,2025-04-23T07:11:39.368737,1309,3,1,0,True,connection_failure
192.168.158.96,203.0.113.15,6,TCP,47626,443,1481,5,1745392296828,1745392300170,cb:ef:bc:dc:b2:7c,38:6e:6e:5b:57:4e,42515,443,https,,,5,2025-04-23T07:11:36.828834,2025-04-23T07:11:40.170834,566,10,1,0,True,connection_failure
192.168.15.124,203.0.113.15,6,TCP,63094,443,292,5,1745392296828,1745392301049,f0:5a:01:1d:e4:4e,10:ed:0b:fc:20:b8,40941,443,https,,,1,2025-04-23T07:11:36.828929,2025-04-23T07:11:41.049929,1393,9,1,0,True,connection_failure
192.168.234.136,203.0.113.15,6,TCP,26451,443,1412,5,1745392296829,1745392300151,43:eb:84:fe:64:cf,b1:aa:07:3c:de:9f,4842,443,https,,,5,2025-04-23T07:11:36.829024,2025-04-23T07:11:40.151024,1353,8,1,0,True,connection_failure
192.168.229.111,203.0.113.15,6,TCP,8606,443,761,14,1745392296829,1745392301470,07:37:6a:a3:06:9e,b8:78:e9:ab:17:4d,41733,443,https,,,8,2025-04-23T07:11:36.829119,2025-04-23T07:11:41.470119,1253,9,1,0,True,connection_failure
