sourceIPv4Address,destinationIPv4Address,protocolIdentifier,protocolName,sourceTransportPort,destinationTransportPort,octetDeltaCount,packetDeltaCount,flowStartMilliseconds,flowEndMilliseconds,mac_source,mac_destination,transport_source_port,transport_destination_port,application_name,http_url,https_url_certificate,datalink_vlan,flow_start_time,flow_end_time,bytes_accumulated,tcp_retransmits,tcp_rst,tcp_fin,anomaly,anomaly_type
172.16.42.123,198.51.100.5,6,TCP,9965,1,41,1,1745392286431,1745392286434,5e:c9:36:0f:40:07,0d:b8:53:84:aa:97,20376,1,unknown,,,1,2025-04-23T07:11:26.431996,2025-04-23T07:11:26.434996,86,0,1,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,29018,2,93,1,1745392286441,1745392286451,fe:d0:f7:f8:27:3f,94:97:55:c9:9c:21,2622,2,unknown,,,3,2025-04-23T07:11:26.441996,2025-04-23T07:11:26.451996,45,0,1,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,47215,3,86,1,1745392286451,1745392286458,81:aa:49:b4:d1:e8,26:45:0c:cc:16:e0,54634,3,unknown,,,5,2025-04-23T07:11:26.451996,2025-04-23T07:11:26.458996,43,0,0,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,41600,4,65,1,1745392286461,1745392286464,e1:79:55:bd:c0:91,19:a4:a7:00:3f:f6,53482,4,unknown,,,3,2025-04-23T07:11:26.461996,2025-04-23T07:11:26.464996,49,0,0,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,9314,5,86,1,1745392286471,1745392286474,a1:5f:f1:21:36:97,0c:3e:6e:c2:67:a8,2974,5,unknown,,,5,2025-04-23T07:11:26.471996,2025-04-23T07:11:26.474996,45,0,1,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,52882,6,85,1,1745392286481,1745392286484,1e:51:6a:41:7e:ab,d2:60:c3:70:2b:f7,6297,6,unknown,,,3,2025-04-23T07:11:26.481996,2025-04-23T07:11:26.484996,95,0,0,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,18887,7,91,1,1745392286491,1745392286498,4d:b5:d7:e0:6b:30,c3:07:e2:0c:f2:c7,14366,7,unknown,,,2,2025-04-23T07:11:26.491996,2025-04-23T07:11:26.498996,62,0,0,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,27374,8,96,1,1745392286501,1745392286506,0f:8a:9d:91:6f:f9,50:a9:9a:6a:e9:a2,45391,8,unknown,,,7,2025-04-23T07:11:26.501996,2025-04-23T07:11:26.506996,63,0,1,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,28778,9,58,1,1745392286511,1745392286520,8c:e9:74:0c:d9:11,f7:f2:08:78:c7:62,2771,9,unknown,,,8,2025-04-23T07:11:26.511996,2025-04-23T07:11:26.520996,59,0,1,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,36247,10,44,1,1745392286521,1745392286529,0f:84:4f:5d:78:92,6b:95:b8:7d:bf:b6,16896,10,unknown,,,5,2025-04-23T07:11:26.521996,2025-04-23T07:11:26.529996,49,0,1,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,45089,11,71,1,1745392286531,1745392286536,37:e2:97:75:5b:74,de:ee:3f:8d:fd:25,23190,11,unknown,,,2,2025-04-23T07:11:26.531996,2025-04-23T07:11:26.536996,84,0,1,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,15415,12,71,1,1745392286541,1745392286544,dd:2a:d8:5b:4a:9f,1f:4f:09:12:c4:a4,8145,12,unknown,,,1,2025-04-23T07:11:26.541996,2025-04-23T07:11:26.544996,66,0,0,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,31514,13,53,1,1745392286551,1745392286559,09:2b:87:19:80:ca,4e:d9:36:d1:1b:72,19165,13,unknown,,,7,2025-04-23T07:11:26.551996,2025-04-23T07:11:26.559996,91,0,0,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,33081,14,73,1,1745392286561,1745392286562,7a:6f:26:4a:d8:07,15:24:b7:a1:1b:c6,14413,14,unknown,,,3,2025-04-23T07:11:26.561996,2025-04-23T07:11:26.562996,89,0,1,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,49573,15,96,1,1745392286571,1745392286573,7c:d9:67:f5:83:61,82:c4:89:2b:7b:dc,56187,15,unknown,,,4,2025-04-23T07:11:26.571996,2025-04-23T07:11:26.573996,63,0,1,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,57470,16,85,1,1745392286581,1745392286586,59:ef:f6:1b:54:63,f8:f9:42:72:01:a0,30275,16,unknown,,,8,2025-04-23T07:11:26.581996,2025-04-23T07:11:26.586996,75,0,0,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,26257,17,94,1,1745392286591,1745392286599,f9:cc:41:38:0d:5e,b3:78:0e:67:a2:11,4955,17,unknown,,,8,2025-04-23T07:11:26.591996,2025-04-23T07:11:26.599996,96,0,0,0,True,port_scan
172.16.42.123,198.51.100.5,6,TCP,38290,18,71,1,1745392286601,1745392286605,5c:60:7c:f7:79:9e,8c:81:26:67:91:2f,35470,18,unknown,,,4,2025-04-23T07:11:26.601996,2025-04-23T07:11:26.605996,92,0,0,0,True,port_scan
