sourceIPv4Address,destinationIPv4Address,protocolIdentifier,protocolName,sourceTransportPort,destinationTransportPort,octetDeltaCount,packetDeltaCount,flowStartMilliseconds,flowEndMilliseconds,mac_source,mac_destination,transport_source_port,transport_destination_port,application_name,http_url,https_url_certificate,datalink_vlan,flow_start_time,flow_end_time,bytes_accumulated,tcp_retransmits,tcp_rst,tcp_fin,anomaly,anomaly_type,response_time_ms
192.168.1.100,203.0.113.20,6,TCP,28467,80,42412,26,1745392365089,1745392386428,32:f9:da:a0:a8:14,32:fa:31:a5:88:ab,8113,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.089384,2025-04-23T07:13:06.428384,38836,2,0,1,True,slow_response,21339
192.168.1.100,203.0.113.20,6,TCP,21222,80,42290,58,1745392365089,1745392387330,b9:ba:8d:d3:d3:10,66:e9:a0:e4:db:e2,18689,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.089476,2025-04-23T07:13:07.330476,6258,1,0,1,True,slow_response,22241
192.168.1.100,203.0.113.20,6,TCP,24536,80,19483,100,1745392365089,1745392379856,b4:75:92:52:77:c5,dd:b3:e3:e5:da:ab,50217,80,http,http://203.0.113.20/resource,,2,2025-04-23T07:12:45.089540,2025-04-23T07:12:59.856540,38163,1,0,1,True,slow_response,14767
192.168.1.100,203.0.113.20,6,TCP,59824,80,41543,100,1745392365089,1745392392038,de:66:59:5c:cd:8f,de:a3:ec:ae:b1:ff,29518,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.089598,2025-04-23T07:13:12.038598,45754,1,0,1,True,slow_response,26949
192.168.1.100,203.0.113.20,6,TCP,37279,80,19417,59,1745392365089,1745392378832,7c:d4:05:4c:1d:55,a5:e6:f8:ab:3d:af,52778,80,http,http://203.0.113.20/resource,,10,2025-04-23T07:12:45.089654,2025-04-23T07:12:58.832654,12032,0,0,1,True,slow_response,13743
192.168.1.100,203.0.113.20,6,TCP,27638,80,41041,22,1745392365089,1745392383052,23:fd:7a:fa:fe:ab,13:12:c2:0e:90:09,25846,80,http,http://203.0.113.20/resource,,2,2025-04-23T07:12:45.089708,2025-04-23T07:13:03.052708,8384,2,0,1,True,slow_response,17963
192.168.1.100,203.0.113.20,6,TCP,5711,80,23358,70,1745392365089,1745392377513,0b:ec:b7:9e:5b:6d,38:b9:bb:58:81:47,48034,80,http,http://203.0.113.20/resource,,4,2025-04-23T07:12:45.089766,2025-04-23T07:12:57.513766,3404,0,0,1,True,slow_response,12424
192.168.1.100,203.0.113.20,6,TCP,7841,80,33726,24,1745392365089,1745392376797,85:de:cb:f6:ae:8d,23:f0:68:23:97:1b,36631,80,http,http://203.0.113.20/resource,,3,2025-04-23T07:12:45.089820,2025-04-23T07:12:56.797820,47896,2,0,1,True,slow_response,11708
192.168.1.100,203.0.113.20,6,TCP,48624,80,18386,15,1745392365089,1745392382253,83:7e:2b:43:1e:06,30:4b:33:84:cd:19,32212,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.089875,2025-04-23T07:13:02.253875,45364,0,0,1,True,slow_response,17164
192.168.1.100,203.0.113.20,6,TCP,31739,80,23886,18,1745392365089,1745392387243,0e:72:7c:f4:ce:09,66:71:9c:d9:40:cf,5265,80,http,http://203.0.113.20/resource,,1,2025-04-23T07:12:45.089931,2025-04-23T07:13:07.243931,47807,1,0,1,True,slow_response,22154
