sourceIPv4Address,destinationIPv4Address,protocolIdentifier,protocolName,sourceTransportPort,destinationTransportPort,octetDeltaCount,packetDeltaCount,flowStartMilliseconds,flowEndMilliseconds,mac_source,mac_destination,transport_source_port,transport_destination_port,application_name,http_url,https_url_certificate,datalink_vlan,flow_start_time,flow_end_time,bytes_accumulated,tcp_retransmits,tcp_rst,tcp_fin,anomaly,anomaly_type
192.168.15.20,198.51.100.42,47,47,50778,727,8230,51,1745392400987,1745392404044,17:94:99:ce:ab:b8,4c:f7:a9:6f:47:d1,16907,257,unknown,,,3,2025-04-23T07:13:20.987670,2025-04-23T07:13:24.044670,5457,0,0,0,True,unusual_protocol
192.168.15.20,198.51.100.42,47,47,11534,7,951,64,1745392401017,1745392403606,6b:ab:16:70:25:95,5c:c3:01:3d:ec:f4,31634,812,unknown,,,7,2025-04-23T07:13:21.017282,2025-04-23T07:13:23.606282,8644,0,0,0,True,unusual_protocol
192.168.15.20,198.51.100.42,47,47,52054,529,4559,76,1745392401048,1745392409649,6d:ca:54:50:00:7c,a7:ca:fb:40:2f:40,6870,494,unknown,,,1,2025-04-23T07:13:21.048612,2025-04-23T07:13:29.649612,9885,0,0,0,True,unusual_protocol
192.168.15.20,198.51.100.42,47,47,6281,664,6954,87,1745392401080,1745392407253,d9:22:a0:58:82:de,53:cc:a1:28:91:22,13631,870,unknown,,,6,2025-04-23T07:13:21.080787,2025-04-23T07:13:27.253787,7523,0,0,0,True,unusual_protocol
192.168.15.20,198.51.100.42,47,47,58627,659,4151,94,1745392401112,1745392403367,86:2d:0f:c4:72:a3,2c:48:ec:6f:b0:c0,34248,986,unknown,,,8,2025-04-23T07:13:21.112770,2025-04-23T07:13:23.367770,8228,0,0,0,True,unusual_protocol
192.168.15.20,198.51.100.42,47,47,32700,395,6885,15,1745392401141,1745392407416,ff:6c:b6:76:81:86,7a:3f:2e:d6:ae:8d,14118,678,unknown,,,1,2025-04-23T07:13:21.141370,2025-04-23T07:13:27.416370,1476,0,0,0,True,unusual_protocol
192.168.15.20,198.51.100.42,47,47,5239,298,5086,56,1745392401173,1745392404602,f4:34:49:82:00:01,78:cb:2e:26:38:4f,63186,124,unknown,,,7,2025-04-23T07:13:21.173806,2025-04-23T07:13:24.602806,8020,0,0,0,True,unusual_protocol
192.168.15.20,198.51.100.42,47,47,61236,8,2900,41,1745392401203,1745392405923,26:a1:7c:2f:08:15,b4:cf:9c:f8:89:4b,34379,883,unknown,,,4,2025-04-23T07:13:21.203092,2025-04-23T07:13:25.923092,7468,0,0,0,True,unusual_protocol
192.168.15.20,198.51.100.42,47,47,11531,953,6452,24,1745392401234,1745392410787,53:60:ff:66:11:89,25:23:0b:66:66:ee,22359,432,unknown,,,3,2025-04-23T07:13:21.234451,2025-04-23T07:13:30.787451,2373,0,0,0,True,unusual_protocol
192.168.15.20,198.51.100.42,47,47,38218,58,3726,30,1745392401265,1745392406251,b4:82:27:ac:8e:64,77:d2:4e:fe:0c:c7,5143,531,unknown,,,6,2025-04-23T07:13:21.265805,2025-04-23T07:13:26.251805,4363,0,0,0,True,unusual_protocol
